source|relation|target
Konstitutionslehre I|Veranstaltungsart|Vorlesung
Konstitutionslehre I|Dozent|Rainer Völkl
Konstitutionslehre I|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Konstitutionslehre II|Vorlesungsnummer|00050
Konstitutionslehre II|Veranstaltungsart|Vorlesung
Konstitutionslehre II|Dozent|Rainer Völkl
Konstitutionslehre II|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Konstruktionslehre II|Vorlesungsnummer|60203
Konstruktionslehre II|Veranstaltungsart|Vorlesung
Konstruktionslehre II|Dozent|Markus Zimmermann
Konstruktionslehre II|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Konstruktionslehre II|Vorlesungsnummer|60217
Konstruktionslehre II|Veranstaltungsart|Übung
Konstruktionslehre II|Dozent|Johannes Wittmann
Konstruktionslehre II|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Konstruktionslehre und CAD I|Vorlesungsnummer|60031
Konstruktionslehre und CAD I|Veranstaltungsart|Vorlesung
Konstruktionslehre und CAD I|Dozent|Frank Rieg
Konstruktionslehre und CAD I|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Kostenrechnung für Ingenieure|Vorlesungsnummer|61309
Kostenrechnung für Ingenieure|Veranstaltungsart|Vorlesung
Kostenrechnung für Ingenieure|Dozent|Frank Döpper
Kostenrechnung für Ingenieure|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Kunststofftechnisches Seminar|Vorlesungsnummer|69023
Kunststofftechnisches Seminar|Veranstaltungsart|Seminar
Kunststofftechnisches Seminar|Dozent|Volker Altstädt
Kunststofftechnisches Seminar|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Lab Course Automation|Vorlesungsnummer|01035
Lab Course Automation|Veranstaltungsart|Projekt
Lab Course Automation|Dozent|Gerhard Fischerauer
Lab Course Automation|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Laborpraktikum|Vorlesungsnummer|00037
Laborpraktikum|Veranstaltungsart|Praktikum
Laborpraktikum|Dozent|Ruth Freitag
Laborpraktikum|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Laborpraktikum Bierbrauen schriftlich|Vorlesungsnummer|00417
Laborpraktikum Bierbrauen schriftlich|Veranstaltungsart|Praktikum
Laborpraktikum Bierbrauen schriftlich|Dozent|Moritz Helm
Laborpraktikum Bierbrauen schriftlich|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Laborpraktikum Brauen mündlich|Vorlesungsnummer|00410
Laborpraktikum Brauen mündlich|Veranstaltungsart|Kurs
Laborpraktikum Brauen mündlich|Dozent|Moritz Helm
Laborpraktikum Brauen mündlich|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Laborpraktikum (M.Sc. BPE)|Vorlesungsnummer|00583
Laborpraktikum (M.Sc. BPE)|Veranstaltungsart|Praktikum
Laborpraktikum (M.Sc. BPE)|Dozent|Thomas Scheibel
Laborpraktikum (M.Sc. BPE)|Veranstaltung von|Lehrstuhl Biomaterialien
Lasermessverfahren der Thermofluiddynamik|Vorlesungsnummer|61324
Lasermessverfahren der Thermofluiddynamik|Veranstaltungsart|Vorlesung
Lasermessverfahren der Thermofluiddynamik|Dozent|Dieter Brüggemann
Lasermessverfahren der Thermofluiddynamik|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Lasermessverfahren der Thermofluiddynamik|Vorlesungsnummer|61327
Lasermessverfahren der Thermofluiddynamik|Veranstaltungsart|Praktikum
Lasermessverfahren der Thermofluiddynamik|Dozent|Dieter Brüggemann
Lasermessverfahren der Thermofluiddynamik|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Lehrstuhlseminar: Technische Mechanik und Strömungsmechanik|Vorlesungsnummer|69004
Lehrstuhlseminar: Technische Mechanik und Strömungsmechanik|Veranstaltungsart|Seminar
Lehrstuhlseminar: Technische Mechanik und Strömungsmechanik|Dozent|Jörn Sesterhenn
Lehrstuhlseminar: Technische Mechanik und Strömungsmechanik|Veranstaltung von|Lehrstuhl Technische Mechanik und Strömungsmechanik
Leistungselektronik|Vorlesungsnummer|60811
Leistungselektronik|Veranstaltungsart|Übung
Leistungselektronik|Dozent|Michael Gleißner
Leistungselektronik|Veranstaltung von|Lehrstuhl Mechatronik
Leistungselektronik|Vorlesungsnummer|60810
Leistungselektronik|Veranstaltungsart|Vorlesung
Leistungselektronik|Dozent|Mark-Matthias Bakran
Leistungselektronik|Veranstaltung von|Lehrstuhl Mechatronik
MA-Arbeit - Mündlicher Vortrag|Vorlesungsnummer|00865
MA-Arbeit - Mündlicher Vortrag|Veranstaltungsart|Kurs
MA-Arbeit - Mündlicher Vortrag|Dozent|Gerhard Fischerauer
MA-Arbeit - Mündlicher Vortrag|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Maschinenelemente (Konstruktionslehre I)|Vorlesungsnummer|60005
Maschinenelemente (Konstruktionslehre I)|Veranstaltungsart|Praktikum
Maschinenelemente (Konstruktionslehre I)|Dozent|Frank Rieg
Maschinenelemente (Konstruktionslehre I)|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Maschinenelemente zu KL I|Vorlesungsnummer|01078
Maschinenelemente zu KL I|Veranstaltungsart|Praktikum
Maschinenelemente zu KL I|Dozent|Frank Rieg
Maschinenelemente zu KL I|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Masterarbeit|Vorlesungsnummer|00799
Masterarbeit|Veranstaltungsart|Examinatorium
Masterarbeit|Dozent|Frank Döpper
Masterarbeit|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Masterarbeit - benoteter Vortrag|Vorlesungsnummer|00913
Masterarbeit - benoteter Vortrag|Veranstaltungsart|Kolloquium
Masterarbeit - benoteter Vortrag|Dozent|Gregor Lang
Masterarbeit - benoteter Vortrag|Veranstaltung von|Lehreinheit Juniorprofessur Biopolymerverarbeitung
Masterarbeit - benoteter Vortrag|Vorlesungsnummer|00512
Masterarbeit - benoteter Vortrag|Veranstaltungsart|Kolloquium
Masterarbeit - benoteter Vortrag|Dozent|Leonid Ionov
Masterarbeit - benoteter Vortrag|Veranstaltung von|Biofabrication
Masterarbeit - benoteter Vortrag|Vorlesungsnummer|00552
Masterarbeit - benoteter Vortrag|Veranstaltungsart|Kurs
Masterarbeit - benoteter Vortrag|Dozent|Thomas Scheibel
Masterarbeit - benoteter Vortrag|Veranstaltung von|Lehrstuhl Biomaterialien
Masterarbeit - mündliche Abschlussprüfung (FM)|Vorlesungsnummer|00829
Masterarbeit - mündliche Abschlussprüfung (FM)|Veranstaltungsart|Kolloquium
Masterarbeit - mündliche Abschlussprüfung (FM)|Dozent|Ralf Moos
Masterarbeit - mündliche Abschlussprüfung (FM)|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Masterarbeit - mündliche Prüfung|Vorlesungsnummer|61020
Masterarbeit - mündliche Prüfung|Veranstaltungsart|Kolloquium
Masterarbeit - mündliche Prüfung|Dozent|Christina Roth
Masterarbeit - mündliche Prüfung|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Masterarbeit - Mündlicher Vortrag|Vorlesungsnummer|00045
Masterarbeit - Mündlicher Vortrag|Veranstaltungsart|Kolloquium
Masterarbeit - Mündlicher Vortrag|Dozent|Andreas Jess
Masterarbeit - Mündlicher Vortrag|Veranstaltung von|Lehrstuhl Chemische Verfahrenstechnik
Masterarbeit mündliche Prüfung|Vorlesungsnummer|00879
Masterarbeit mündliche Prüfung|Veranstaltungsart|Kolloquium
Masterarbeit mündliche Prüfung|Dozent|Dieter Brüggemann
Masterarbeit mündliche Prüfung|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Masterarbeit mündliche Prüfung|Vorlesungsnummer|01168
Masterarbeit mündliche Prüfung|Veranstaltungsart|Kurs
Masterarbeit mündliche Prüfung|Dozent|Frank Döpper
Masterarbeit mündliche Prüfung|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Materialien und Technologien der Elektrotechnik|Vorlesungsnummer|65220
Materialien und Technologien der Elektrotechnik|Veranstaltungsart|Vorlesung
Materialien und Technologien der Elektrotechnik|Dozent|Ralf Moos
Materialien und Technologien der Elektrotechnik|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Materialien und Technologien der Elektrotechnik|Vorlesungsnummer|60202
Materialien und Technologien der Elektrotechnik|Veranstaltungsart|Praktikum
Materialien und Technologien der Elektrotechnik|Dozent|Ralf Moos
Materialien und Technologien der Elektrotechnik|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Materialsimulation I|Vorlesungsnummer|60111
Materialsimulation I|Veranstaltungsart|Vorlesung
Materialsimulation I|Dozent|Thomas Gruhn
Materialsimulation I|Veranstaltung von|Lehrstuhl Biomaterialien
Materialsimulation I Übung|Vorlesungsnummer|00809
Materialsimulation I Übung|Veranstaltungsart|Übung
Materialsimulation I Übung|Dozent|Thomas Gruhn
Materialsimulation I Übung|Veranstaltung von|Lehrstuhl Biomaterialien
Materialwissenschaftliche Exkursion|Vorlesungsnummer|00288
Materialwissenschaftliche Exkursion|Veranstaltungsart|Exkursion
Materialwissenschaftliche Exkursion|Dozent|Uwe Glatzel
Materialwissenschaftliche Exkursion|Veranstaltung von|Fakultät für Ingenieurwissenschaften
Materialwissenschaftliche Exkursion|Vorlesungsnummer|01141
Materialwissenschaftliche Exkursion|Veranstaltungsart|Exkursion
Materialwissenschaftliche Exkursion|Dozent|Volker Altstädt
Materialwissenschaftliche Exkursion|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
MatLab für Ingenieure|Vorlesungsnummer|60318
MatLab für Ingenieure|Veranstaltungsart|Vorlesung & Übung
MatLab für Ingenieure|Dozent|Martin Hämmerle
MatLab für Ingenieure|Veranstaltung von|Lehrstuhl Funktionsmaterialien
MatWerk-Seminar|Vorlesungsnummer|69026
MatWerk-Seminar|Veranstaltungsart|Seminar
MatWerk-Seminar|Dozent|Uwe Glatzel
MatWerk-Seminar|Veranstaltung von|Fakultät für Ingenieurwissenschaften
MatWerk-Seminar|Vorlesungsnummer|68105
MatWerk-Seminar|Veranstaltungsart|Seminar
MatWerk-Seminar|Dozent|Volker Altstädt
MatWerk-Seminar|Veranstaltung von|Fakultät für Ingenieurwissenschaften
mdl Vortrag|Vorlesungsnummer|00862
mdl Vortrag|Veranstaltungsart|Kurs
mdl Vortrag|Dozent|Gerhard Fischerauer
mdl Vortrag|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Mechatronik I|Vorlesungsnummer|64011
Mechatronik I|Veranstaltungsart|Übung
Mechatronik I|Dozent|Johannes Häring
Mechatronik I|Veranstaltung von|Lehrstuhl Mechatronik
Mechatronik I|Vorlesungsnummer|64010
Mechatronik I|Veranstaltungsart|Vorlesung
Mechatronik I|Dozent|Mark-Matthias Bakran
Mechatronik I|Veranstaltung von|Lehrstuhl Mechatronik
Messtechnik|Vorlesungsnummer|60102
Messtechnik|Veranstaltungsart|Vorlesung
Messtechnik|Dozent|Gerhard Fischerauer
Messtechnik|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Metallische Halbzeuge|Vorlesungsnummer|60501
Metallische Halbzeuge|Veranstaltungsart|Praktikum
Metallische Halbzeuge|Dozent|Uwe Glatzel
Metallische Halbzeuge|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Metallische Halbzeuge|Vorlesungsnummer|60500
Metallische Halbzeuge|Veranstaltungsart|Vorlesung
Metallische Halbzeuge|Dozent|Uwe Glatzel
Metallische Halbzeuge|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Metall/Keramik-Hybride|Vorlesungsnummer|66150
Metall/Keramik-Hybride|Veranstaltungsart|Vorlesung
Metall/Keramik-Hybride|Dozent|Nico Langhof
Metall/Keramik-Hybride|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Methoden der Festkörpercharakterisierung|Vorlesungsnummer|60061
Methoden der Festkörpercharakterisierung|Veranstaltungsart|Vorlesung
Methoden der Festkörpercharakterisierung|Dozent|Christina Roth
Methoden der Festkörpercharakterisierung|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Methoden der Werkstoffcharakterisierung|Vorlesungsnummer|00208
Methoden der Werkstoffcharakterisierung|Veranstaltungsart|Vorlesung & Übung
Methoden der Werkstoffcharakterisierung|Dozent|Daniela Schönauer-Kamin
Methoden der Werkstoffcharakterisierung|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Methoden und Ethik des wissenschaftlichen Arbeitens|Vorlesungsnummer|65022
Methoden und Ethik des wissenschaftlichen Arbeitens|Veranstaltungsart|Seminar
Methoden und Ethik des wissenschaftlichen Arbeitens|Dozent|Alexandra Heyer
Methoden und Ethik des wissenschaftlichen Arbeitens|Veranstaltung von|Lehrstuhl Mechatronik
Methoden und Ethik des wissenschaftlichen Arbeitens|Vorlesungsnummer|65020
Methoden und Ethik des wissenschaftlichen Arbeitens|Veranstaltungsart|Vorlesung
Methoden und Ethik des wissenschaftlichen Arbeitens|Dozent|Alexandra Heyer
Methoden und Ethik des wissenschaftlichen Arbeitens|Veranstaltung von|Lehrstuhl Mechatronik
Mikrocontroller|Vorlesungsnummer|62210
Mikrocontroller|Veranstaltungsart|Vorlesung
Mikrocontroller|Dozent|Gerhard Fischerauer
Mikrocontroller|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Mikroskopie|Vorlesungsnummer|66131
Mikroskopie|Veranstaltungsart|Praktikum
Mikroskopie|Dozent|Rainer Völkl
Mikroskopie|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Mikroskopie|Vorlesungsnummer|66130
Mikroskopie|Veranstaltungsart|Vorlesung
Mikroskopie|Dozent|Rainer Völkl
Mikroskopie|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Mikroskopische und mechanische Charakterisierungsmethoden|Vorlesungsnummer|60041
Mikroskopische und mechanische Charakterisierungsmethoden|Veranstaltungsart|Übung
Mikroskopische und mechanische Charakterisierungsmethoden|Dozent|Christina Roth
Mikroskopische und mechanische Charakterisierungsmethoden|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Mikroskopische und mechanische Charakterisierungsmethoden|Vorlesungsnummer|65100
Mikroskopische und mechanische Charakterisierungsmethoden|Veranstaltungsart|Vorlesung
Mikroskopische und mechanische Charakterisierungsmethoden|Dozent|Christina Roth
Mikroskopische und mechanische Charakterisierungsmethoden|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Mikroskopische und mechanische Charakterisierungsmethoden|Vorlesungsnummer|60747
Mikroskopische und mechanische Charakterisierungsmethoden|Veranstaltungsart|Praktikum
Mikroskopische und mechanische Charakterisierungsmethoden|Dozent|Christina Roth
Mikroskopische und mechanische Charakterisierungsmethoden|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Mitarbeiterbesprechung CME|Vorlesungsnummer|00376
Mitarbeiterbesprechung CME|Veranstaltungsart|Kurs
Mitarbeiterbesprechung CME|Dozent|Walter Krenkel
Mitarbeiterbesprechung CME|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Mitarbeiterseminar|Vorlesungsnummer|69021
Mitarbeiterseminar|Veranstaltungsart|Seminar
Mitarbeiterseminar|Dozent|Volker Altstädt
Mitarbeiterseminar|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Mitarbeiterseminar|Vorlesungsnummer|69031
Mitarbeiterseminar|Veranstaltungsart|Seminar
Mitarbeiterseminar|Dozent|Mark-Matthias Bakran
Mitarbeiterseminar|Veranstaltung von|Lehrstuhl Mechatronik
Mitarbeiterseminar|Vorlesungsnummer|69002
Mitarbeiterseminar|Veranstaltungsart|Seminar
Mitarbeiterseminar|Dozent|Jörn Sesterhenn
Mitarbeiterseminar|Veranstaltung von|Lehrstuhl Technische Mechanik und Strömungsmechanik
Mitarbeiterseminar|Vorlesungsnummer|69081
Mitarbeiterseminar|Veranstaltungsart|Seminar
Mitarbeiterseminar|Dozent|Ruth Freitag
Mitarbeiterseminar|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Mitarbeiterseminar|Vorlesungsnummer|69141
Mitarbeiterseminar|Veranstaltungsart|Seminar
Mitarbeiterseminar|Dozent|Ralf Moos
Mitarbeiterseminar|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Mitarbeiterseminar|Vorlesungsnummer|69061
Mitarbeiterseminar|Veranstaltungsart|Seminar
Mitarbeiterseminar|Dozent|Gerhard Fischerauer
Mitarbeiterseminar|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Modelle und Simulation thermofluiddynamischer Prozesse|Vorlesungsnummer|61314
Modelle und Simulation thermofluiddynamischer Prozesse|Veranstaltungsart|Vorlesung
Modelle und Simulation thermofluiddynamischer Prozesse|Dozent|Dieter Brüggemann
Modelle und Simulation thermofluiddynamischer Prozesse|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Modellierung biotechnologischer Reaktoren und Prozesse|Vorlesungsnummer|65109
Modellierung biotechnologischer Reaktoren und Prozesse|Veranstaltungsart|Übung
Modellierung biotechnologischer Reaktoren und Prozesse|Dozent|Thomas Steiner
Modellierung biotechnologischer Reaktoren und Prozesse|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Modellierung biotechnologischer Reaktoren und Prozesse|Vorlesungsnummer|65108
Modellierung biotechnologischer Reaktoren und Prozesse|Veranstaltungsart|Vorlesung
Modellierung biotechnologischer Reaktoren und Prozesse|Dozent|Thomas Steiner
Modellierung biotechnologischer Reaktoren und Prozesse|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Modellierung chemischer Reaktoren|Vorlesungsnummer|65107
Modellierung chemischer Reaktoren|Veranstaltungsart|Übung
Modellierung chemischer Reaktoren|Dozent|Christoph Kern
Modellierung chemischer Reaktoren|Veranstaltung von|Lehrstuhl Chemische Verfahrenstechnik
Modellierung chemischer Reaktoren|Vorlesungsnummer|65106
Modellierung chemischer Reaktoren|Veranstaltungsart|Vorlesung
Modellierung chemischer Reaktoren|Dozent|Christoph Kern
Modellierung chemischer Reaktoren|Veranstaltung von|Lehrstuhl Chemische Verfahrenstechnik
Moderne Leistungshalbleiter|Vorlesungsnummer|69039
Moderne Leistungshalbleiter|Veranstaltungsart|Vorlesung
Moderne Leistungshalbleiter|Dozent|Mark-Matthias Bakran
Moderne Leistungshalbleiter|Veranstaltung von|Lehrstuhl Mechatronik
Motorenkonstruktion|Vorlesungsnummer|61361
Motorenkonstruktion|Veranstaltungsart|Vorlesung
Motorenkonstruktion|Dozent|Johannes Mohr
Motorenkonstruktion|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
MRT-Seminar|Vorlesungsnummer|69066
MRT-Seminar|Veranstaltungsart|Seminar
MRT-Seminar|Dozent|Gerhard Fischerauer
MRT-Seminar|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
MT Projektübung Messtechnik|Vorlesungsnummer|00011
MT Projektübung Messtechnik|Veranstaltungsart|Kurs
MT Projektübung Messtechnik|Dozent|Alice Fischerauer
MT Projektübung Messtechnik|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Mündliche Abschlussprüfung Bachelorarbeit (PW)|Vorlesungsnummer|00822
Mündliche Abschlussprüfung Bachelorarbeit (PW)|Veranstaltungsart|Kolloquium
Mündliche Abschlussprüfung Bachelorarbeit (PW)|Dozent|Volker Altstädt
Mündliche Abschlussprüfung Bachelorarbeit (PW)|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Mündliche Abschlussprüfung Masterarbeit (PW)|Vorlesungsnummer|00823
Mündliche Abschlussprüfung Masterarbeit (PW)|Veranstaltungsart|Kolloquium
Mündliche Abschlussprüfung Masterarbeit (PW)|Dozent|Volker Altstädt
Mündliche Abschlussprüfung Masterarbeit (PW)|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
mündliche Ergebnispräsentation|Vorlesungsnummer|00784
mündliche Ergebnispräsentation|Veranstaltungsart|Kolloquium
mündliche Ergebnispräsentation|Dozent|Mark-Matthias Bakran
mündliche Ergebnispräsentation|Veranstaltung von|Lehrstuhl Mechatronik
mündliche Prüfung Bachelorarbeit|Vorlesungsnummer|00863
mündliche Prüfung Bachelorarbeit|Veranstaltungsart|Kurs
mündliche Prüfung Bachelorarbeit|Dozent|Mark-Matthias Bakran
mündliche Prüfung Bachelorarbeit|Veranstaltung von|Lehrstuhl Mechatronik
Mündliche Prüfung Masterarbeit|Vorlesungsnummer|01136
Mündliche Prüfung Masterarbeit|Veranstaltungsart|Kurs
Mündliche Prüfung Masterarbeit|Dozent|Mark-Matthias Bakran
Mündliche Prüfung Masterarbeit|Veranstaltung von|Lehrstuhl Mechatronik
Mündlicher Vortrag – AM|Vorlesungsnummer|00589
Mündlicher Vortrag – AM|Veranstaltungsart|Seminar
Mündlicher Vortrag – AM|Dozent|Christina Roth
Mündlicher Vortrag – AM|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Numerische Modellierung gekoppelter physikalischer Prozesse|Vorlesungsnummer|66163
